date;open;close
2019-05-31;185.10;185.16
2019-05-30;188.75;188.22
2019-05-29;187.10;189.86
2019-05-28;191.20;188.70
2019-05-24;199.83;190.63
2019-05-23;194.34;195.49
2019-05-22;199.10;192.73
2019-05-21;197.76;205.08
2019-05-20;202.80;205.36
2019-05-17;221.96;211.03
2019-05-16;229.49;228.33
2019-05-15;229.32;231.95
2019-05-14;229.30;232.31
2019-05-13;232.01;227.01
2019-05-10;239.75;239.52
2019-05-09;242.00;241.98
2019-05-08;246.94;244.84
2019-05-07;256.80;247.06
2019-05-06;250.02;255.34
2019-05-03;243.86;255.03
2019-05-02;245.52;244.10
2019-05-01;238.85;234.01
2019-04-30;242.06;238.69
2019-04-29;235.86;241.47
2019-04-26;246.50;235.14
2019-04-25;255.00;247.63
2019-04-24;263.85;258.66
2019-04-23;260.15;263.90
2019-04-22;269.00;262.75
2019-04-18;271.23;273.26
2019-04-17;274.75;271.23
2019-04-16;265.75;273.36
2019-04-15;268.63;266.38
2019-04-12;270.22;267.70
2019-04-11;268.30;268.42
2019-04-10;276.74;276.06
2019-04-09;271.65;272.31
2019-04-08;277.69;273.20
2019-04-05;269.86;274.96
2019-04-04;261.89;267.78
2019-04-03;287.32;291.81
2019-04-02;288.30;285.88
2019-04-01;282.62;289.18
2019-03-29;278.70;279.86
2019-03-28;277.16;278.62
2019-03-27;268.75;274.83
2019-03-26;264.44;267.77
2019-03-25;259.71;260.42
2019-03-22;272.58;264.53
2019-03-21;272.60;274.02
2019-03-20;269.69;273.60
2019-03-19;267.50;267.47
2019-03-18;276.00;269.49
2019-03-15;283.51;275.43
2019-03-14;292.45;289.96
2019-03-13;283.90;288.96
2019-03-12;286.49;283.36
2019-03-11;283.52;290.92
2019-03-08;276.91;284.14
2019-03-07;278.84;276.59
2019-03-06;276.48;276.24
2019-03-05;282.00;276.54
2019-03-04;298.12;285.36
2019-03-01;306.94;294.79
2019-02-28;318.92;319.88
2019-02-27;301.78;314.74
2019-02-26;292.22;297.86
2019-02-25;297.91;298.77
2019-02-22;294.49;294.71
2019-02-21;301.81;291.23
2019-02-20;304.41;302.56
2019-02-19;306.56;305.64
2019-02-15;304.50;307.88
2019-02-14;303.38;303.77
2019-02-13;312.35;308.17
2019-02-12;316.20;311.81
2019-02-11;311.60;312.84
2019-02-08;306.83;305.80
2019-02-07;313.30;307.51
2019-02-06;319.59;317.22
2019-02-05;312.49;321.35
2019-02-04;312.98;312.89
2019-02-01;305.42;312.21
2019-01-31;301.00;307.02
2019-01-30;300.45;308.77
2019-01-29;295.27;297.46
2019-01-28;292.91;296.38
2019-01-25;294.39;297.04
2019-01-24;283.03;291.51
2019-01-23;292.50;287.59
2019-01-22;304.82;298.92
2019-01-18;323.00;302.26
2019-01-17;346.21;347.31
2019-01-16;344.78;346.05
2019-01-15;335.00;344.43
2019-01-14;342.38;334.40
2019-01-11;342.09;347.26
